filename,category,dom_channel,mean_pairwise,std_pairwise,center_min,outlier_count,color_mismatch_rate,object_mismatch_rate,color_claims,object_claims,sem_noise,contr_noise,noise_score,captions,confidence
port_3094.tif,port,B>R>G,0.25912982339866775,0.1445202018974296,0.4277872291382582,1,1.0,1.0,1,1,0.7408701766013323,1.0,0.6637592460833753,"Located between the wood and the lawn, the curve port is surrounded by a path along with a compact laid boat row. ||| The curvilinear outline between the trees and the lawn, the harbor and the rows of ships moored next to each other are surrounded by a path. ||| located between trees and meadows the hatched harbour with rows of compact moored boats is surrounded by a path. ||| this port is full of rows of ships with only a few vacant spaces for docking . ||| Between the trees and the grass, the coat and a row of boats stopped by the banana path.",HIGH
farmland_1676.tif,farmland,G>R>B,0.08853687808565266,0.12836538712810056,0.42520273952393417,1,1.0,0.0,1,0,0.9114631219143473,0.65,0.6547953552458756,"This is a tree. ||| it is brown, black, yellow . ||| A small wild road runs through farmland. ||| A path runs through a field. ||| This is a forest.",HIGH
square_3997.tif,square,R>G>B,0.17293900569029858,0.21657845121035352,0.48602364384720337,0,1.0,1.0,2,4,0.8270609943097014,1.0,0.6489952786832693,a circle building with some trees and grass . ||| A football field in the middle of the grass. ||| there are many trees around a circular building . ||| green green tree and grass . ||| A football field on the grass.,MEDIUM
playground_2808.tif,playground,G>R>B,0.353800245334458,0.23711495299552418,0.38023014407473027,1,1.0,1.0,4,2,0.646199754665542,1.0,0.637545352443296,"On the side of the road there are several red roof buildings and playgrounds with white roof stands behind some trees. ||| There are some red roofed buildings and a white roofed playground on the side of the road. There are several trees in the back. ||| here lies a soccer field as well as two hockey courts next to a bustling road and a lush bush . ||| Next to the street there are some buildings with red roof and a playground with a white roof behind which are some trees. ||| There are some red roofs and white yards next to the road, and there are trees in the back.",HIGH
resort_3380.tif,resort,R>G>B,0.19162690850089836,0.1957611221233533,0.3610893544858279,1,1.0,0.0,4,0,0.8083730914991016,0.65,0.6306205006477219,A river in a green mountain and sightseeing spot. ||| There are a green tree and a river. ||| A scenic spot with beautiful scenery. ||| There are green trees and rivers. ||| a green mountain and rivers of the tourist resort.,HIGH
playground_2803.tif,playground,G>R>B,0.16628389941065266,0.1148229284601834,0.5477987717343097,0,1.0,1.0,1,2,0.8337161005893473,1.0,0.6301212612441704,the ground track playground is next to buildings with red roof . ||| There are several buildings along the road and several sports fields. ||| There are some sports grounds and some buildings along the road. ||| This run soccer stadium is surrounded by a smart building. ||| The football field is surrounded by a white track surrounded by intelligent buildings.,MEDIUM
stadium_4227.tif,stadium,G>R>B,0.18134697948607809,0.11336933802270296,0.5294647834604742,0,1.0,1.0,1,1,0.818653020513922,1.0,0.6297677920160301,"huge words of awd arena are writed int the blearchers of the stadium . ||| There is a spherical ball field, and there is a spherical spherical shape, and the tree and the lawn are square. ||| There is a bowl shaped stadium in the square. There are trees and lawns in the blue stands. ||| AWD arena is a huge soccer stadium on the roof. ||| It's a huge football field with an all wheel drive arena on the roof.",MEDIUM
commercial_1368.tif,commercial,B>R>G,0.19167946873437153,0.3409862695911841,0.3928663041947203,1,1.0,0.0,1,2,0.8083205312656285,0.65,0.6193302126628843,"A city of skyscrapers. ||| the ground is covered with green grass . ||| There are many buildings in the shopping center. There are roads there. The roads are full of water. ||| There are many buildings in the shopping mall, and the roads there are very crowded. ||| A city of skyscrapers.",MEDIUM
resort_3455.tif,resort,R>G>B,0.1493259123767612,0.17545168722301013,0.473601427376632,1,1.0,0.0,1,0,0.8506740876232388,0.65,0.6099768098592829,"there are many on both sides of the street and the coconut . ||| the road has a lot of running vehicles . ||| Building around some white roof. ||| there are green plants, there are a few car parked on the side of the road . ||| Around several white roofs of the building.",MEDIUM
bareland_655.tif,bareland,R>G>B,0.21737679312170477,0.3633859501130211,0.38969821782445785,1,1.0,0.0,2,0,0.7826232068782952,0.65,0.6087611606888317,The family has three or four trucks. ||| behind the house is a piece of barren desert . ||| A few green trees are close to a large area of bare land. ||| A few green trees are close to a large bare land. ||| A family has three or four trucks.,MEDIUM
